"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2018-06-14 23:55:00,216.842310000,-1.461776667,22.229810000,6.665723333,17.815540000,34.216870000,9.007110000,22.740053333,24.859653333,10.432166667,15.997933333,20.108456667,18.534836667,14.234156667,-1.461776667
2018-06-14 23:50:00,233.354483333,-1.461303333,22.360130000,7.178196667,17.800536667,34.663273333,9.149563333,22.554563333,25.359990000,10.927756667,16.127090000,25.625816667,22.842373333,18.765193333,-1.461303333
2018-06-14 23:45:00,246.449056667,-1.457206667,24.289863333,10.150826667,21.564086667,34.352753333,8.935043333,22.254766667,25.241423333,11.361183333,16.042553333,27.535290000,24.407566667,20.313700000,-1.457206667
2018-06-14 23:40:00,228.102693333,-1.450526667,19.608593333,5.617870000,16.633480000,33.562353333,8.967776667,22.038623333,24.239443333,11.775780000,16.228370000,26.518366667,23.958990000,18.953046667,-1.450526667
2018-06-14 23:35:00,213.117716667,-1.464636667,20.298496667,5.913623333,17.256193333,33.312290000,8.912690000,21.950160000,24.132520000,11.083190000,16.157576667,20.042070000,20.293400000,13.765506667,-1.464636667
2018-06-14 23:30:00,220.645740000,-1.469863333,19.521570000,5.268956667,16.693816667,33.973920000,9.401103333,22.356646667,24.821986667,10.792663333,16.026573333,21.915453333,25.072406667,14.800643333,-1.469863333
2018-06-14 23:25:00,221.407290000,-1.461876667,19.211513333,5.482260000,16.926223333,33.416743333,8.987810000,22.423153333,24.413516667,10.828603333,16.430946667,22.225660000,24.494746667,16.566113333,-1.461876667
2018-06-14 23:20:00,239.165536667,-1.459600000,22.167993333,9.411916667,20.425480000,32.493726667,8.433243333,22.040553333,24.821683333,11.447176667,16.705580000,25.754260000,25.674666667,19.789256667,-1.459600000
2018-06-14 23:15:00,209.704873333,-1.453310000,19.023753333,4.764683333,16.883600000,32.567846667,8.708320000,22.237706667,24.548126667,10.772120000,16.120540000,20.205196667,19.635033333,14.237946667,-1.453310000
2018-06-14 23:10:00,212.313473333,-1.467096667,20.414883333,6.597126667,17.521823333,32.990990000,9.726310000,22.775430000,24.465983333,10.883453333,16.081350000,18.916450000,18.667936667,13.271736667,-1.467096667
2018-06-14 23:05:00,215.235210000,-1.495156667,19.577720000,4.674080000,16.292023333,32.943006667,9.393256667,22.717793333,24.004536667,10.617370000,15.936370000,21.660386667,21.547463333,15.871203333,-1.495156667
2018-06-14 23:00:00,234.395900000,-1.496603333,22.978490000,8.854806667,20.119183333,33.891793333,8.864696667,22.904190000,25.414796667,11.884053333,16.315830000,23.234980000,22.825200000,17.107880000,-1.496603333
2018-06-14 22:55:00,227.835113333,-1.498526667,21.227500000,6.644550000,18.621206667,34.120260000,8.912216667,22.881280000,25.796353333,11.973466667,16.172176667,23.264393333,22.252370000,15.969340000,-1.498526667
2018-06-14 22:50:00,226.872033333,-1.486956667,20.670426667,5.886670000,17.662480000,34.345890000,9.173820000,22.897780000,25.041446667,11.689190000,15.939480000,22.542860000,24.204806667,16.817183333,-1.486956667
2018-06-14 22:45:00,221.669916667,-1.487186667,19.538260000,4.760026667,16.393176667,34.298530000,9.265680000,22.850856667,25.150983333,11.871206667,16.006270000,21.622866667,23.841286667,16.070773333,-1.487186667
2018-06-14 22:40:00,234.988436667,-1.482746667,20.660406667,7.304973333,18.338760000,34.166413333,9.383513333,22.894363333,25.755410000,11.930213333,16.210143333,24.141053333,26.070016667,18.133170000,-1.482746667
2018-06-14 22:35:00,234.219563333,-1.482350000,22.014353333,8.930976667,19.820080000,34.133413333,9.451470000,22.896073333,25.171333333,11.757736667,16.099213333,23.407826667,23.586086667,16.951000000,-1.482350000
2018-06-14 22:30:00,213.400306667,-1.482780000,19.799803333,5.974323333,16.817350000,33.430333333,8.924280000,22.633270000,24.238740000,11.020430000,15.827396667,19.689850000,20.716600000,14.327930000,-1.482780000
2018-06-14 22:25:00,213.623543333,-1.484493333,20.259893333,5.487996667,16.850536667,33.361573333,9.091796667,23.144256667,24.643550000,11.016096667,16.298240000,19.376053333,20.221510000,13.872040000,-1.484493333
2018-06-14 22:20:00,218.252950000,-1.488856667,21.019813333,6.714323333,18.172733333,32.820770000,8.691406667,22.755830000,24.254986667,10.794303333,15.877810000,20.583723333,21.245336667,15.321913333,-1.488856667
2018-06-14 22:15:00,241.194446667,-1.487610000,22.947113333,9.124866667,20.354813333,32.940613333,9.250583333,22.526620000,23.390456667,10.619963333,16.142170000,26.206540000,26.921373333,20.769333333,-1.487610000
2018-06-14 22:10:00,212.783933333,-1.486306667,19.948290000,5.625606667,17.163890000,33.221096667,9.395183333,22.592546667,23.073880000,10.555453333,15.946630000,20.305100000,20.545790000,14.410466667,-1.486306667
2018-06-14 22:05:00,212.656286667,-1.487683333,20.579270000,6.324650000,17.212183333,32.430146667,8.752513333,21.945473333,23.550116667,10.522723333,16.051236667,20.034420000,20.805906667,14.447646667,-1.487683333
